analisis	sentiment_label	sentiment_score
jahat suka takut putus pergi	Negatif	-1
perilaku jahat temu normalisasi simak ulas	Positif	1
bahas oknum rasa hubung jahat lelah rasa waktu putus putus takut	Negatif	-1
bahaya hubung jahat sadar rasa rendah rasa arti percaya asli harga hubung jahat	Negatif	-1
salah bahaya hubung jahat sadar rendah rasa rendah arti minder mudah harga makan hubung jahat	Negatif	-1
mari kenal hubung jahat pasang atur hidup pribadi kontrol pasang alami keras fisik verbal verbal	Positif	1
bahaya hubung jahat sadar rasa rendah rasa arti percaya asli harga hubung jahat	Negatif	-1
jahat egois suka cemburu sikap kasar nilai buruk suka manipulasi manfaat suka salah salah	Negatif	-1
bahaya hubung jahat sadar rasa rendah rasa arti minder gampang asli harga hubung jahat	Negatif	-1
istilah jahat paksa bahagia optimis situasi dukung tekan emosi negatif hadap	Negatif	-1
risau jahat hidup pegang jahat hidup kadang peras lepas pandang	Negatif	-1
jahat	Negatif	-1
ciri jahat hubung kontrol pasang sulit dukung curiga kekang bohong keras fisik love	Negatif	-1
marah gara cium payah cium cium diam melotot seram takut jahat	Negatif	-1
tongkrong jahat entar jahat contoh teman ketemu omong bisnis omong mantan sambung	Negatif	-1
suka alam pribadi publik lihat hubung jahat pasang super	Positif	1
hoki pistol alkisah neon jahat bunuh	Negatif	-1
jahat jahat jujur hidup dasar ragu rasa bawa pengaruh	Negatif	-1
henti jahat suka fikir benda sakit hati rasa menang lepas banding rasa teruk harga rasa lemah jumpa motivasi	Negatif	-1
jahat benda salah kena kena hina benda hidup tenang rasa harap kekal kenal jahat	Negatif	-1
jahat melulu misuh pasti lemah lembut jahat seram bujuk rasa hantu rasa salah	Negatif	-1
bawang salah jahat tempat jenis suka puak bawang benda rasa asing	Negatif	-1
bukti betapa jahat korban jahat mati katai	Negatif	-1
fandom jahat fandom jahat bunuh mimpi cita fandom jahat banter sebal doang tukang jahat bahaya pakai aksi nyata	Negatif	-1
kenal jalin hubung jahat hidup bahagia beranta hilang percaya trauma	Netral	0
tonton hubung jahat sakit mantan alam hubung jahat	Negatif	-1
jahat parah posesif ampun detik foto kasar kamar mandi lapor lihat takut hubung	Positif	1
baca perilaku jahat jurus cuman niat siksa	Negatif	-1
jahat hina benci bela jilat rendah	Negatif	-1
real jahat mati	Netral	0
teman bangsat jahat suasana mental kepiting rebus naik tarik turun jatuh lihat doktrin buruk gala	Positif	1
hubung jahat jahat saking jahat waktu telpon jahat dengar lagu payung teduh akad marah skip lagu kocak perkara lagu drama setan	Negatif	-1
masalah jahat arti	Negatif	-1
sesal jahat nyata	Negatif	-1
jahat cinta hubung contoh rela	Negatif	-1
jahat komunitas lumrah jarang kerap indonesia cuman indonesia global jahat komunitas sosial media tele	Negatif	-1
cium langsung teman jahat jujur	Netral	0
percaya marah kecil sayang maaf habis lari peluk baca lupa jahat	Negatif	-1
jahat manis jahat pelan pelan tahap manipulatif sadar sadar susah	Negatif	-1
teman hubung adem salah kelas jahat lihat	Negatif	-1
juar jahat hidup tenang drama mata sakit sikit mata lari	Negatif	-1
ketawa heran suami cocok doang jahat jahat peduli geng jengkel grup	Negatif	-1
tolong susah rasa bantu tolong bantu diam doang inisiatif bantu real jahat	Negatif	-1
teman ganteng jahat teman putus titik sadap gila	Negatif	-1
tempat jahat enak manusia manusia malam menang bengek tempat bangkai	Negatif	-1
ciri khas hubung jahat ikat cinta main main segenap jiwa real toksik cepat cepat	Positif	1
berani jahat berani korban sakit takut hilang bahagia	Negatif	-1
habis teman doang pipi merah lepas jahat jahat parah teman sebel puncak omong sadap	Negatif	-1
rumah kacau jahat rasa sakit laku suka mempan menang mempan rumah aman kaya tendang	Negatif	-1
kesel kesel alam enak betah teman jahat kasihan	Negatif	-1
jebak hubung jahat langsung kasih perhati kecil muka dekil habis main	Negatif	-1
semenjak ketemu tulus rasa hidup sosial lingkup personal profesional asia jahat komen respon bentuk bumbu	Positif	1
kenal salah teman situ gong nyata suka diam alhasil situ sadar teman jahat gong	Negatif	-1
bangun karir nyaman idam sayang tempat janji nyaman nasib kurang untung tahan jahat butuh	Negatif	-1
telusur bayar jahat bagus paksa tahan keburu depresi	Negatif	-1
teman rupa rasa titik pasrah capek lingkup jahat mustahil amal kejar	Negatif	-1
senior kantor galak jahat rasa dunia pusat junior keliling dunia gaji dolar multinasional bangun medsos muhasabah	Negatif	-1
ramai lari kerap rasa salah tanda tukar tempat rupa perkara normal ramai rasa benda	Negatif	-1
tempat tempat lamar pilih tangan dunia	Negatif	-1
bantu ekonomi keluarga tempat dekat pilih jalan	Negatif	-1
tekan tempat tekan proyek habis stres contoh rumah sakit tenaga medis rasa beban mental berat	Negatif	-1
aruna panti asuh hidup kenal lang tempat asing selesai didik buah	Netral	0
sadar sadar rasa ngeri tempat bentuk besok lusa rasa salah teman alam seram kantor simak	Negatif	-1
kantor target naik lipat sisa jalan laku bias jahat teman umur sopan prinsip	Negatif	-1
mental puncak suka ketik tempat sehat mental skala minim gilir solusi gaji lembur	Negatif	-1
rapat kawan ambil personal masalah canang personal dekat habis tempat	Negatif	-1
aduh takut gantung kondisi mental tempat tahap teman gantung mental masalah keti	Negatif	-1
rapat masalah pribadi tempat organisasi pribadi pribadi campur aduk	Negatif	-1
tempat menang canda menang rela pergi drama drama pisah alam sadar	Negatif	-1
pilih tawar divisi tempat jumlah teman dekat teman tulus saran situasi bobrok sulit selamat pilih	Negatif	-1
fungsional takut suka dekat tempat jauh dekat fungsional susah laksana	Negatif	-1
kantor kesel kesel bujukin pimpin beliau cuti cuti angkat telpon jujur suka tempat tunjang turun jauh	Negatif	-1
nyata situasi tempat laku rekan nila titik rasa toleransi putus	Negatif	-1
egois tuntut senang pribadi rasa kalah nyata tempat tawar mari peluk	Negatif	-1
giat penuh harap angkut semangat bentuk tempat berat hati kecil surabaya	Netral	0
rasa sesuai situ lulus tempat alami lulus lepas putus	Negatif	-1
telingkah tempat mesin bunyi ihwal halang sambut	Negatif	-1
pilih salah rasa mampu harga tempat tempat level tutup bawa gerbong rombong manjur pakai	Negatif	-1
kecil hasil suka buku main aksesoris lihat tempat cantik bahan bumi semangat	Negatif	-1
rusun gratis sewa golong mahal tempat hidup paket relokasi mati mata rumah tempat teduh hujan ikat sosial selamat	Positif	1
besok tempat takut laku rugi mental drop besok minggu rumah keluarga jual	Negatif	-1
gara omong seblak rindu tempat jujur capek capek selesai bawa pulang	Negatif	-1
teman tempat jaga salah bidang jatuh	Negatif	-1
manja objek derita tempat suruh rumah musti saing prestasi	Negatif	-1
nyata hubung	Netral	0
anjeng berangkat nyata tempat	Negatif	-1
