analisis	sentiment_label	sentiment_score
tanda kena tukar stres penat tengok semangat luntur kerja rasa cepat penat penat	Negatif	-1
tanda kena tukar stres penat tengok semangat luntur kerja rasa cepat penat penat	Negatif	-1
dunia kerja ajaib penuh butuh hidup ajang makan ruang aktualisasi ganas hidup serasa jungkir	Negatif	-1
karyawan kerja kecil tonton bingung lucu marah	Negatif	-1
dunia luas manusia milyar dunia kerja tenang ganti kerja ganti	Positif	1
pikir alias beda alam kerja tenang video kerja taktik format pakai	Negatif	-1
pria kerja alas kerja sesuai ingin gagal mall usaha	Netral	0
guru dosen nakes teliti kecil abdi cari gaji kerja ambil kerja ambil sepi ambil kerja kerja	Negatif	-1
ramai kerja lari kerap rasa salah tanda tukar tempat perkara normal ramai kerja rasa benda	Negatif	-1
alam kerja maju indah realita kerja	Netral	0
wajar kerja tekan beban tingkat dukung rekan atas pasti isolasi stres kerja ganggu hidup	Negatif	-1
cipta lapang akibat industri manufaktur padat karya jalan tempat alhasil tumbuh kelas kerja proletariat kerja pasti prekariat kerja kerja kontrak kemudi ojek	Positif	1
pabrik pandang kalah kesan suara dentum mesin manis gula gera cepat kerja tempat hidup dian	Negatif	-1
butuh aktualisasi fungsi masyarakat plus gaya hidup kerja hidup putar kerja pagi jelang tidur	Positif	1
tempat pulang toleransi telat menit bebas baca buku kerja beres kerja sabtu musik jawa	Negatif	-1
beda kerja sadar damai hadir senang gaul jebak ikat versi dunia	Negatif	-1
agenda malam selesai kerja penuh tawa hangat waktu rumah milik kerja sisa tunggu	Netral	0
mampu cepat adaptasi dunia alami ubah cepat kerja hilang iring kembang zaman ahli forum ekonomi dunia forum kerja dunia	Positif	1
ganti ganti jepang lihat bagus mitra utama etika	Positif	1
celaka kaki patah jalan susah kantor alas jalan kaki kerja menang aju	Negatif	-1
kadang pikir negatif kenal budaya kantor adaptasi sisi kerja sisi biasa kantor adaptasi kena susah	Positif	1
perempuan dengar depresi pensiun kerja kantor biasa pegang kuasa urus diam pensiun	Negatif	-1
urus kerja pribadi timbang uang beli tambah timbang rela kantor benah media komunikasi kerja	Positif	1
kantor ganti kerja usaha kantor	Netral	0
masalah kerja selesai komunikasi asumsi bahaya pikir jelek	Negatif	-1
saking kerja kerja asa takut cemas hati karuan cari kerja	Negatif	-1
jakarta cari kerja malas adaptasi mampus kalimat nyata jenaka bakat urus pegawai	Negatif	-1
langsung kena mental rasa pikir kerja pulang pagi muncul kerja sumpah wajar	Negatif	-1
omong kantor kerja kerja hidup sepi depresi omong teman	Negatif	-1
kerja divisi ajar urus pindah barang	Negatif	-1
posisi kerja gaji juta bulan plus dana operasional juta alas undur kerja	Positif	1
usaha teman kasih kerja partner gaji juta	Positif	1
bulan gaji gaji kerja gaji gaji kerja umur hidup ganda kejar tujuh angka bantu keliling capai enam angka	Negatif	-1
kerja total gaji kerja bulan gaji masyaallah jaga staff zalim	Negatif	-1
bingung teman omong beda kerja situ cepat kasih	Negatif	-1
magang kantor kuat anjing libur pagi kantor kerja kerja	Netral	0
kerja selesai kerja selesai kerja selesai kerja selesai kerja selesai kerja selesai kerja selesai	Netral	0
kerja fokus selesai waktu	Netral	0
tambah kerja bantu teman dikit	Netral	0
kerja kabur tinggal kerja kewalahan	Negatif	-1
gara omong seblak kerja kerja tempat jujur kerja selesai pulang	Negatif	-1
gilir kerja susah bantu buset urus keluarga bantu kerja urus kerja bantu	Negatif	-1
mending kantor kerja kerja rekan sibuk kapai capek kantor gabut bosan kapai tunggu pulang	Negatif	-1
kerja ulang	Netral	0
mesin kerja pulang minggu mesin produksi besar susah	Negatif	-1
atas lewat mampus susah bekal kaya coba kerja	Negatif	-1
pengaruh aktivitas hari masyarakat kerja sederhana selesai menit butuh waktu	Negatif	-1
kerja jodoh pasti waktu maju mundur lomba cepat	Positif	1
kangen kerja kerja selesai pulang rumah beban pikir kerja pulang	Netral	0
sangking kerja teman kerja	Netral	0
keras kerja tidur hari rasa capek butuh keluarga pasti keluarga anjing pelit hitung	Negatif	-1
saking kerja bingung saking pindah sabtu kemarin pagi bangun tidur siang tidur kerja baju putih besok lupa	Negatif	-1
sang pria menggarisbawahi nyata kerja sulit milik rumit staff	Netral	0
dian jalan lancar berat kerja pabrik tenang perhati beres jarang bicara kecuali	Netral	0
kerja kantor pulang sore rumah kudu masak mpasi dinas berangkat moga sehat	Positif	1
kerja ruang tutup jendela akses dunia tarik obrol	Netral	0
jalan cepat kerja pagi cepat cepat balas kerja habis habis siang urus senang produktif	Positif	1
kantor duduk letak buka laptop meja kalimat dengar kerja sebentar sabar	Netral	0
jujur nyaman kemarin tanggal merah libur jatah libur minggu kemarin asih kerja sore siang angkat tanggap	Positif	1
ingin tempat atur meja kerja meja hidup	Negatif	-1
kerja rasa komik edisi	Negatif	-1
kerja pagi awal berangkat semangat ketemu interaksi langsung menang jiwa dagang	Positif	1
kerja doang kerja digital konten video tulis blog doang sederhana sederhana	Netral	0
kasih kasih ubah kerja sukses pergi bidang beda baik	Netral	0
pulang tetiba makhluk idiot asih kerja ruang	Negatif	-1
bulan kerja gunung gagal cuti pagi kadang malam tutup laptop	Negatif	-1
gara gara libur sakit pulang tidur kerja bawa kerja kerja pulang libur libur	Netral	0
curhat semenjak kerja hidup cuman pagi berangkat pulang sore rumah tidur bangun semangat	Netral	0
curhat dikit kerja sedikit sebal lenggang kerja kerja beres siang singkat	Negatif	-1
adu dinas ketenagakerjaan masalah internal usaha kerja lapor dinas ketenagakerjaan tempat kerja isi formulir adu lampir kait langgar	Negatif	-1
sadar betapa imbang hidup pribadi kerja hak waktu istirahat privasi urus kerja atas bangun karyawan malam revisi	Negatif	-1
kerja buruh upah rendah kurang kerja umur wanita hamil cuti	Negatif	-1
