analisis	sentiment_label	sentiment_score
gaji naik cepat	Positif	1
bangun pagi semangat pergi tepu rutin rasa gain mati situ gaji timpal	Negatif	-1
lompat mesti benda bagus sesuai gaji baca	Netral	0
umur bumn gaji pegawai pilih swasta gaji pegawai kontrak cpns kasih	Positif	1
gaji cukup bijak marah buah pulang tani rumah	Negatif	-1
efek gaji tingkat suka daya tawar langsung ganti bisnis gerak cepat	Positif	1
gaji kecil harga harga	Positif	1
lihat jakarta gaji minat kecuali	Positif	1
efek gaji tingkat suka daya tawar langsung ganti bisnis gerak cepat	Positif	1
dunia henti lelah gaji henti	Negatif	-1
motivasi rumah paksa laku jodoh gaji suka hidup sesuai nyaman gaji besar bonus	Positif	1
tempat tempat gaji jauh jakarta tempat gaji	Negatif	-1
jarak jarak tempat lumayan jauh dekat rumah gaji rendah dilema	Negatif	-1
salah gaji kurang kontribusi uang keluarga sang direktur peduli keluarga peduli pergi	Negatif	-1
turun gaji rekan tempat jahat betah gaji turun enak	Negatif	-1
curhat bidang gaji gaji ambil jakarta naik gaji jenjang karir alam	Netral	0
gaji tempat	Negatif	-1
tiada naik gaji masalah urus beban kurang wang sehat rupa faktor henti	Negatif	-1
durasi tingkat gaji bidang	Positif	1
klasik gaji kecil miris kelar strata kompromi ilmu salah	Netral	0
gaji besar super valid	Netral	0
ramai henti gaji kurang harga kawan jahat beban repek kebaji abai	Negatif	-1
kantor waktu dekat gaji naik cepat strategi jangka buah utas perspektif hadap	Positif	1
lompat lompat relatif stabil cetak badai reda asik goreng gaji kena	Netral	0
teman rsud jawa jawa gaji sesuai beban sulit dokter dikit perata dokter problem	Negatif	-1
tempat kasih suruh selesai gaji kecil	Negatif	-1
ramai henti gaji kurang harga kawan jahat beban	Negatif	-1
dunia kantor salah pecat hilang gaji hilang nyawa tugas gaji enak	Negatif	-1
undang sabtu kondisi gaji	Positif	1
tingkat iring mampu harap syarikat sistem naik gaji sesuai gaji	Positif	1
rana ambil ilmu alam salur malaysia kejar gaji kejar faedah gaya hidup	Negatif	-1
tingkat iring mampu harap syarikat sistem naik gaji sesuai gaji	Positif	1
tips salah jenis pilih kasih salah rasa bosan salah gaji kena potong lepas	Negatif	-1
acapkali arah tulis surat utara masalah alami tempat ketidakpuasan hati hadap skop jadual bayar gaji janji turun pangkat	Negatif	-1
omong gaji emak auto ceramah takut enak lupa jodoh	Negatif	-1
tempat leluasa perintah agama gaji ubah	Negatif	-1
pimpin gaji digit kadang tembus waktu uang bank bank pakai gaji habis pegang suami info suami	Netral	0
wajar gaji bagus bagus malu cetek	Negatif	-1
tempat gaji	Negatif	-1
lupa naik gaji hapal	Positif	1
undang sabtu kondisi gaji	Positif	1
tawar sekolah posisi ajar sekolah kontrak gaji besar kepsek logis	Positif	1
tingkat iring mampu harap syarikat sistem naik gaji sesuai gaji	Positif	1
tingkat iring mampu harap syarikat sistem naik gaji sesuai gaji	Positif	1
kena tukar gaji kena lihat faktor peluang staf staf cuti tempat kena angkut isteri angkut senarai	Negatif	-1
dekat rumah cuti staff jahat gaji komitmen takat	Netral	0
rekening bohong gaji dikit kemarin	Negatif	-1
lompat kenal kawan sorang lompat tukar tukar baju besar gaji	Netral	0
ramai cakap zone gain basic bosan contoh pasal gaji pasal suka takut	Negatif	-1
gaji turun ribu betah tempat	Negatif	-1
gaji gaji turun persen putus	Positif	1
kasih tawar salah naik minimal gaji tawar buka diskus timbang kasih	Negatif	-1
wajib dekat gaji spekulasi jamin nyaman tempat mending	Negatif	-1
cukup kuat gaji kecil jemput susah motor pasti gampang susah gaji besar susah	Negatif	-1
karyawan kurang pola maaf dekat rumah kapai daftar jauh rumah kemarin tempat gaji	Positif	1
halo sender kantor langsung gaji kantor menang hasil	Positif	1
guru gaji kecil administrasi murid nakal wali murid rekan guru jahat	Positif	1
korban gaji juta paksa hidup gaji juta paksa laki suruh gaji kecil mampu	Negatif	-1
gaji aneh salah over kasih gaji besar capek ajar	Negatif	-1
gaji putus libur gaji kurang juta jujur badan toleransi	Netral	0
teman pilih dagang cilok fleksibel mudah ibadah hasil besar gaji dagang	Netral	0
kemarin pusing salah tolak tawar tempat gaji naik	Negatif	-1
menang kangen adik bungsu qatar lulus bandung kasihan capek pulang tarik nafas gaji	Netral	0
gaji kecil jahat sesuai minat bahas versi hasil riset	Positif	1
wajar tukar tempat gaji naik loyal gaji naik tengok contoh situasi	Positif	1
sorang adik komen nama hakim nama bang rasa malas pergi esok tengok muka suka harga awak gaji	Negatif	-1
salah ajar perkara gaji jahat peluang naik pangkat tukar	Negatif	-1
kadang timbang rela tempat gaji faktor jarak keluarga kecil	Negatif	-1
omong gaji ambis kurang tarik bahas gaji gaji waktu	Netral	0
utama gaji pakai indonesia indonesia gaji habis hidup	Netral	0
ganti beda situ upah lembur gaji bpjs parkir bayar jarak tempuh jauh ijin tunjang cair	Negatif	-1
ramai gaji kurang harga kawan jahat susah situ repek kebaji abai jaga jaga sehat	Negatif	-1
tempat langsung suruh tunggu proses nama gaji habis catat nomor	Netral	0
salah ajar perkara gaji jahat peluang naik pangkat tukar	Negatif	-1
hutan belantara produk nama nipis madu gaji	Positif	1
gaji besar nafkah	Positif	1
jakarta gaji tawar mutasi ponorogo gaji jakarta ponorogo murah ambil	Negatif	-1
rame generalisasi baca sisi positif kutu loncat posisi gaji	Positif	1
kantor jahat kantor gaji kecil sesal kasih	Negatif	-1
rela dekat rumah gaji kecil ongkos transpor rupiah sesal enak	Netral	0
dunia dunia atur urus ijin omong sakit lampir surat ijin asih gaji	Negatif	-1
tempat tempat cuman gaji besar	Negatif	-1
entar ketemu teman gaji saran syukur gaji teman besar dewasa	Positif	1
teman gede gaji susah hidup kapai susah gaji naik rendah	Negatif	-1
teman henti guru senior murid bandel sekolah buah besar beban sesuai gaji	Netral	0
lihat pilih gaji opsi tempat nyaman jarak jauh pilih milik timbang kena	Negatif	-1
efek gaji tingkat suka daya tawar langsung ganti bisnis gerak cepat	Positif	1
efek gaji tingkat suka daya tawar langsung ganti bisnis gerak cepat	Positif	1
salah gaji kurang kontribusi uang keluarga sang direktur peduli keluarga peduli pergi	Negatif	-1
