sentimen,ulasan
Negatif,"Gaji yang buruk, pelatihan dan komunikasi yang buruk."
Negatif,"Gaji yang buruk yang tidak meningkat banyak dengan perkembangan, tidak ada insentif untuk bekerja lebih keras, pergantian staf yang tinggi, sistem yang buruk"
Negatif,"Gaji yang sangat rendah, kondisi kerja yang buruk, sangat sedikit pelatihan yang disediakan tetapi harapan yang tinggi.Manajemen mikro adalah gadis -gadis muda, tidak berpengalaman dan dangkal yang tidak dapat memberikan bimbingan dan dukungan untuk tim mereka."
Negatif,Tidak ada kemajuan karier dan gaji yang buruk
Negatif,"Bayar buruk, sekitar upah minimum.Tidak ada pelatihan aktual untuk peran pekerjaan Anda.Tidak ada insentif untuk meningkat.pelatihan.Meninggalkan rasa tidak enak di mulut ketika CEO mengendarai Roll Royce dan sebagian besar pekerja dibayar sangat rendah"
Negatif,"Manajemen dan seniornya kejam.Tidak ada pelatihan untuk staf.Staf dibayar dengan buruk dan hampir tidak ada retensi.Para konsultan tidak memiliki komunikasi dan meskipun menjadi perusahaan ""nasional"" mereka tampaknya tidak dapat memahami apa pun di luar Bromsgrove."
Positif,Orang -orangnya hebat dan budaya sangat berpikir.Banyak peluang pengembangan dan benar -benar berinvestasi dalam mendidik karyawan mereka.
Positif,"Staf yang baik, tim SDM yang bagus.
Terasa bersemangat dan berpikiran maju. 
Jam fleksibel (bekerja untuk saya). 
Tempat yang bagus untuk memulai karir Anda."
Negatif,Dilepaskan dari perusahaan sebelum Natal.Sarankan peran itu tidak hemat biaya setelah harus berurusan dengan manajemen terburuk dalam karir 20 tahun saya.
Negatif,Upah yang sangat rendah.Staf tidak dihargai.SDM tidak membantu.Tidak ada perasaan positif ke tempat apa pun.
Negatif,"Tim SDM yang tidak mendukung, terburuk yang pernah saya temui.Tidak akan mempercayai mereka dengan masalah rahasia sama sekali.
Manajemen tidak berguna, hanya menjaga orang -orang dalam ""klik"" mereka.
Setiap orang diperlakukan secara berbeda yang memberikan gesekan di antara tim.
Bayar tidak terlalu baik untuk jumlah pekerjaan yang diharapkan perusahaan Anda selesaikan.
Turnover staf yang tinggi - tidak pernah tahu yang seperti itu!"
Positif,Semua orang ramah dan selalu ada suasana yang cemerlang di kantor.Ada peluang perkembangan yang selalu merupakan bonus dan perusahaan benar -benar menjaga Anda.
Positif,"AFH terasa seperti keluarga.Saya meninggalkan AFH tahun lalu untuk apa yang saya pikir adalah peluang karier yang lebih baik, tetapi sejak menyadari bahwa rumput tidak selalu lebih hijau di sisi lain.Budaya AFH adalah alasan saya kembali dan saya pasti bisa mengatakan rasanya menyenangkan bisa kembali!"
Positif,"AFH adalah perusahaan progresif yang berinvestasi pada orang -orang mereka dan mendukung pengembangan karir.Keamanan Pekerjaan adalah titik penjualan besar bersama dengan pertumbuhan yang berkelanjutan.Manfaat staf mulai meningkat dari menawarkan jam kerja terkompresi ke kelas Pilates, berbagi opsi hingga bonus Natal."
Positif,"Banyak dukungan dan pelatihan yang diberikan
Suasana yang sangat ramah dan positif"
