full_text,tokenisasi,stemmed,stopwords,filtered
belum ganti hari senin tapi orderan pekerjaan sudah datang saja,"['belum', 'ganti', 'hari', 'senin', 'tapi', 'orderan', 'pekerjaan', 'sudah', 'datang', 'saja']",belum ganti hari senin tapi order kerja sudah datang saja,ganti senin order,"['ganti', 'senin', 'order']"
kalau kalian pilih mana lingkungan kerja jahat gaji umr tapi dekat sama keluarga lingkungan kerja tidak jahat gaji diatas umr tapi kalian kesepian enggak punya teman di tempat kerjaamp di kos,"['kalau', 'kalian', 'pilih', 'mana', 'lingkungan', 'kerja', 'jahat', 'gaji', 'umr', 'tapi', 'dekat', 'sama', 'keluarga', 'lingkungan', 'kerja', 'tidak', 'jahat', 'gaji', 'diatas', 'umr', 'tapi', 'kalian', 'kesepian', 'enggak', 'punya', 'teman', 'di', 'tempat', 'kerjaamp', 'di', 'kos']",kalau kalian pilih mana lingkung kerja jahat gaji umr tapi dekat sama keluarga lingkung kerja tidak jahat gaji atas umr tapi kalian sepi enggak punya teman di tempat kerjaamp di kos,pilih jahat gaji dekat keluarga jahat gaji sepi teman tempat kerjaamp,"['pilih', 'jahat', 'gaji', 'dekat', 'keluarga', 'jahat', 'gaji', 'sepi', 'teman', 'tempat']"
keterlambatan insentif juga bahkan gaji yang kecil bagi pegawai tetappns rs ini juga menjadi sebab utama nakes sehingga terpaksa resign jelas eva,"['keterlambatan', 'insentif', 'juga', 'bahkan', 'gaji', 'yang', 'kecil', 'bagi', 'pegawai', 'tetappns', 'rs', 'ini', 'juga', 'menjadi', 'sebab', 'utama', 'nakes', 'sehingga', 'terpaksa', 'resign', 'jelas', 'eva']",lambat insentif juga bahkan gaji yang kecil bagi pegawai tetappns rs ini juga jadi sebab utama nakes sehingga paksa resign jelas eva,lambat insentif gaji kecil pegawai tetappns utama nakes paksa,"['lambat', 'insentif', 'gaji', 'kecil', 'pegawai', 'utama', 'nakes', 'paksa']"
work menurut kalian perusahaan yang kayak begini red flag tidak sih lihat komennya banyak banget perusahaan lain yang kayak begini interview dadakan di atas jam sore imo ini sudah kelihatan kalau perusahaan ini punya hustle culture amp tidak professional,"['work', 'menurut', 'kalian', 'perusahaan', 'yang', 'kayak', 'begini', 'red', 'flag', 'tidak', 'sih', 'lihat', 'komennya', 'banyak', 'banget', 'perusahaan', 'lain', 'yang', 'kayak', 'begini', 'interview', 'dadakan', 'di', 'atas', 'jam', 'sore', 'imo', 'ini', 'sudah', 'kelihatan', 'kalau', 'perusahaan', 'ini', 'punya', 'hustle', 'culture', 'amp', 'tidak', 'professional']",work turut kalian usaha yang kayak begini red flag tidak sih lihat komennya banyak banget usaha lain yang kayak begini interview dada di atas jam sore imo ini sudah lihat kalau usaha ini punya hustle culture amp tidak professional,work flag lihat komennya interview dada sore lihat hustle culture professional,"['lihat', 'dada', 'sore', 'lihat']"
tidak banyak wish di tahun semoga bisa ganti status di ktp di pekerjaan amin,"['tidak', 'banyak', 'wish', 'di', 'tahun', 'semoga', 'bisa', 'ganti', 'status', 'di', 'ktp', 'di', 'pekerjaan', 'amin']",tidak banyak wish di tahun moga bisa ganti status di ktp di kerja amin,wish ganti status,"['ganti', 'status']"
ada beberapa paling parah sih di salah satu resort daerah bdg adek saya kakinya sampai pincang gara nabrak sesuatu pas lagi renang sore,"['ada', 'beberapa', 'paling', 'parah', 'sih', 'di', 'salah', 'satu', 'resort', 'daerah', 'bdg', 'adek', 'saya', 'kakinya', 'sampai', 'pincang', 'gara', 'nabrak', 'sesuatu', 'pas', 'lagi', 'renang', 'sore']",ada beberapa paling parah sih di salah satu resort daerah bdg adek saya kaki sampai pincang gara nabrak sesuatu pas lagi renang sore,parah salah resort daerah adek kaki pincang gara nabrak renang sore,"['parah', 'salah', 'daerah', 'adek', 'kaki', 'pincang', 'gara', 'renang', 'sore']"
yoel cari pekerjaan baru the curhat by yoel sumitro awalnya tidak mau share di twitter too early karena pindahnya masih beberapa bulan lagi tapi akhirnya sudah kesebar juga sok here itu is post refleksicurhat dari perjalanan gua cari the next challenge,"['yoel', 'cari', 'pekerjaan', 'baru', 'the', 'curhat', 'by', 'yoel', 'sumitro', 'awalnya', 'tidak', 'mau', 'share', 'di', 'twitter', 'too', 'early', 'karena', 'pindahnya', 'masih', 'beberapa', 'bulan', 'lagi', 'tapi', 'akhirnya', 'sudah', 'kesebar', 'juga', 'sok', 'here', 'itu', 'is', 'post', 'refleksicurhat', 'dari', 'perjalanan', 'gua', 'cari', 'the', 'next', 'challenge']",yoel cari kerja baru the curhat by yoel sumitro awal tidak mau share di twitter too early karena pindah masih beberapa bulan lagi tapi akhir sudah sebar juga sok here itu is post refleksicurhat dari jalan gua cari the next challenge,yoel curhat yoel sumitro share twitter early sebar here post refleksicurhat jalan next challenge,"['curhat', 'sebar', 'jalan']"
pindah dari singapura ke surabaya terus ke jakarta buatku lumayan sering karena belum pernah pindahpindah ah begitu jadi sekarang tinggal bareng ibu dan adik ya,"['pindah', 'dari', 'singapura', 'ke', 'surabaya', 'terus', 'ke', 'jakarta', 'buatku', 'lumayan', 'sering', 'karena', 'belum', 'pernah', 'pindahpindah', 'ah', 'begitu', 'jadi', 'sekarang', 'tinggal', 'bareng', 'ibu', 'dan', 'adik', 'ya']",pindah dari singapura ke surabaya terus ke jakarta buat lumayan sering karena belum pernah pindahpindah ah begitu jadi sekarang tinggal bareng ibu dan adik ya,singapura surabaya jakarta lumayan pindahpindah bareng adik,"['singapura', 'surabaya', 'jakarta', 'lumayan', 'bareng', 'adik']"
sampai sih essence of dance ini nongol pas aku sibuk kerja mah fix aku harus resign kerja biar bisa fokus kipopan tidak,"['sampai', 'sih', 'essence', 'of', 'dance', 'ini', 'nongol', 'pas', 'aku', 'sibuk', 'kerja', 'mah', 'fix', 'aku', 'harus', 'resign', 'kerja', 'biar', 'bisa', 'fokus', 'kipopan', 'tidak']",sampai sih essence of dance ini nongol pas aku sibuk kerja mah fix aku harus resign kerja biar bisa fokus kipopan tidak,essence dance nongol sibuk fokus kipopan,"['nongol', 'sibuk', 'fokus']"
nder kalau bisa memilih meneruskan usaha orang tua apa kerja aku bakal memilih meneruskan usaha orang tua tidak perlu capek menempuh perjalanan jauh sambil desekdesekan di transportasi umum stres dikejar deadline atau harus lembur kalau pekerjaan lagi banyak masalahnya pilihannya tidak ada,"['nder', 'kalau', 'bisa', 'memilih', 'meneruskan', 'usaha', 'orang', 'tua', 'apa', 'kerja', 'aku', 'bakal', 'memilih', 'meneruskan', 'usaha', 'orang', 'tua', 'tidak', 'perlu', 'capek', 'menempuh', 'perjalanan', 'jauh', 'sambil', 'desekdesekan', 'di', 'transportasi', 'umum', 'stres', 'dikejar', 'deadline', 'atau', 'harus', 'lembur', 'kalau', 'pekerjaan', 'lagi', 'banyak', 'masalahnya', 'pilihannya', 'tidak', 'ada']",nder kalau bisa pilih terus usaha orang tua apa kerja aku bakal pilih terus usaha orang tua tidak perlu capek tempuh jalan jauh sambil desekdesekan di transportasi umum stres kejar deadline atau harus lembur kalau kerja lagi banyak masalah pilih tidak ada,pilih pilih capek tempuh jalan jauh desekdesekan transportasi stres kejar deadline lembur masalah pilih,"['pilih', 'pilih', 'capek', 'tempuh', 'jalan', 'jauh', 'transportasi', 'stres', 'kejar', 'lembur', 'masalah', 'pilih']"
