full_text,filtered
Waktu pandemik ni kalau masih dibayar gaji dan selesa dengan kerja korang relaks dulu. Jangan fikir untuk tukar2 kerja atau berhenti kerja. Aku berhenti kerja 4 bulan sebelum pandemik dan tak tahu benda akan jadi macam ni. Kalau tahu memang aku tak berhenti kerja waktu tu.,waktu pandemik bayar gaji selesa relaks fikir henti henti pandemik benda henti waktu
 Kalau nak gaji naik cepat jump company Yes that works but it s not as simple as that. There are things that you need to do before hand as well as what not to do if you go through this situation 1/ Do: Achieve something first,gaji naik cepat
@hrdbacot Jawabanya boleh pilih salah 1: 1. Saya merasa kemampuan saya bisa lebih berguna dan lebih dihargai ditempat baru ini 2. Ditempat lama kesempatan untuk berkembang/naik level tertutup karena atasan saya yg baru datang bawa gerbong rombongan Dua duanya manjur sih selama ini dipake,pilih salah rasa mampu harga tempat tempat level tutup bawa gerbong rombong manjur pakai
Job hopping ni perlu: 1. Bila bangun pagi kau dah takda semangat nak pergi kerja. 2. Bila kau dah tepu dengan kerja rutin. 3. Bila kau rasa dah tak boleh nak gain knowledge dan tak boleh nak enhance skill. 4. Bila kerjaya kau mcm mati kat situ 5. Bila gaji kau dah tak setimpal,bangun pagi semangat pergi tepu rutin rasa gain mati situ gaji timpal
@WhatsAbp @hrdbacot Alasan resignku terakhir mostly karena atasan yg toxic banget. Tapi waktu interview aku arahkan ke culture kerja yg kurang seusai sama visiku. Mungkin soal atasan toxic bisa dibungkus dengan alasan mencari tim yg bisa lebih saling support dalam kinerja untuk hasil lebih baik ,jahat waktu arah kurang visi jahat bungkus hasil
 Job Hopping atau lompat kerja tak semestinya benda tak bagus. Job hopping sesuai untuk korang yang nak career advancement &amp; higher salary. Cuba baca ni. https://t.co/IHSVd4QnsO,lompat mesti benda bagus sesuai gaji baca
nggak. pekerjaan itu enaknya jadi tempat kita belajar tempat kita tumbuh tempat kita serve for a bigger purpose. kalau cuma datang kerja pulang gajian tanpa mikirin bigger purpose ini hari-hari akan terasa seperti robot aja. ttd 18 years &amp; counting in the same company,enak tempat ajar tempat tumbuh tempat serve pulang gaji robot
Setelah beberapa tahun di sini memang ada perubahan mentalitas. Misal: 1. Malu kalau telat. 2. Di luar jam kerja ga wajib ikut acara kantor kalau ada urusan pribadi yg lebih penting. Ga pernah ada yg nyindir/nyinyir. 3. Atasan boleh didebat. Mereka juga manusia yg bisa salah.,ubah mentalitas malu telat wajib acara kantor urus pribadi debat manusia salah
-rek yg cowo mau tanya lek kalian umur 30thn kerja di bumn udah kerja disana selama 7thn gaji umr pegawai tetap atau kalian bakal milih pindah kerja di swasta startup gaji 2digit pegawai kontrak atau mau coba cpns yg blm tentu keterima. Kasih alasan dong,umur bumn gaji pegawai pilih swasta gaji pegawai kontrak cpns kasih
NAK TUKAR KERJAYA? PREPARE 6 PERKARA NI 1- Bersedia untuk dapat gaji yang lebih rendah. 2- Research pasal jawatan tu. 3- Set satu matlamat. 4- Kembangkan skills. 5- Customise resume. 6- Sediakan jawapan bila ditanya kenapa nak tukar kerjaya masa dalam interview nanti. ,tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar
Alasan kenapa belum ingin pindah kerja meskipun gaji hanya cukup punya bos yang sangat bijak sekali (tidak pernah marah sama anak buah) dan tiap hari bisa pulang menemani ibu dirumah :),gaji cukup bijak marah buah pulang tani rumah
Inget ya kalo pindah kerja belum menjamin lu aman dan benefit yang lu terima lebih baik dari sebelumnya. lu harus menyesuaikan culture dan kinerja supaya lolos performance review. ada yg pengalaman meninggalkan kenyamanan di perusahaan sebelumnya tapi dpt malah lebih g enak.,jamin aman sesuai lolos alam nyaman enak
11. Tambahan: setiap tempat kerja pasti ada suka dukanya. Entah beban kerja kolega atasan dsb. Jangan gampang kabur karena kerikil kecil yang pasti ada di mana pun. tapi jangan permisif dan cari pembenaran juga kalau kelewat toxic. Resign itu ga salah. Ambil cuti juga ga salah,tempat pasti suka duka beban kolega gampang kabur kerikil kecil pasti permisif jahat salah ambil cuti salah
alasan gue benci dan gak mau pindah ke pusat adalah lingkungan kerja yg toxic.,benci pusat jahat
kadang alasan terlucu aku ketika pengen pindah kerja adalah aku ingin merasakan libur di tanggal merah dan bisa longweekend seperti jaman kuliah. tp kayanya ga logis bgtt gitu,kadang lucu rasa libur tanggal merah jaman kuliah kaya logis
Kerja sebaik2nya itu efeknya ke diri sendiri. Skill nambah gaji meningkat disukai perusahaan daya tawar makin tinggi. Bahwa seseorang resign trus langsung ada gantinya ya karena nature bisnis begitu harus bergerak cepat. Ini bukan alasan buat kamu kerja seadanya.,efek gaji tingkat suka daya tawar langsung ganti bisnis gerak cepat
Alasan org pindah kerja bukan karena gaji kecil dsb tp karena tak di hargai. Laki-laki harga dirinya yg tinggi,gaji kecil harga harga
@catuaries Ya seharusnya perusahaan juga berkaca kenapa kok karyawatinya resign setelah lahiran? Jangan2 : - tidak menyediakan ruang laktasi utk busui - tidak memberikan waktu yg fleksibel utk busui perah ASI - working habitnya jelek membuat karyawan (tanpa kecuali) harus lembur tiap hari,kaca lahir sedia ruang laktasi busui waktu fleksibel busui perah jelek karyawan kecuali lembur
Rule of seven : apabila dalam 7 tahun berkarir perkembangan karir dan penghasilan tidak sesuai harapan saatnya pindah. 3 faktur utama bertahan / pindah : 1. Cukup perut 2. Cukup hati 3. Cukup otak,kembang karir hasil sesuai harap faktur utama tahan cukup perut cukup hati cukup otak
Kalau lihat orang-orang ngobrolin jkt dan gaji aku sama sekali nggak ada minat pindah kerja kesana kecuali ada alasan tertentu,lihat jakarta gaji minat kecuali
@alief_an Kerja sebaik2nya itu efeknya ke diri sendiri. Skill nambah gaji meningkat disukai perusahaan daya tawar makin tinggi. Bahwa seseorang resign trus langsung ada gantinya ya karena nature bisnis begitu harus bergerak cepat. Ini bukan alasan buat kamu kerja seadanya.,efek gaji tingkat suka daya tawar langsung ganti bisnis gerak cepat
@etharaawrr @hrdbacot Kenapa karyawan anda berbohong hingga melamar ketempat lain? Artinya mereka tidak lagi nyaman untuk bertahan diperusahaan anda entah dari gaji/lingkungan/sistem/leadership. Mengapa perusahaan tdk mengevaluasi sistem manajemen mereka sendiri? Akan jauh terlihat lebih elegan,karyawan bohong lamar tempat arti nyaman tahan evaluasi sistem manajemen jauh lihat elegan
alasan kakak gue kerja biar ada kerjaan biar cepet nikah biar kaya dan bisa bawa gue pindah bareng dia biar hidup berdua terus terlepas dari toxic environment ini ️,cepat nikah bawa bareng hidup lepas jahat
Dalam dunia kerja ada kalanya seseorang ingin berhenti bekerja karena berbagai alasan. Mulai dari lelah ingin pindah dengan gaji yang lebih tinggi berhenti dan tidak bekerja lagi atau berbagai alasan lainnya.,dunia henti lelah gaji henti
Ketika ditanya alasan pindah kerja motivasi saya cuma satu keluar dr rumah yg memaksa saya melakukan hal yg saya tidak mau . Yaitu perjodohan. Bukan karena gaji lebih tinggi? Saya lebih suka hidup sesuai kemauan dan kenyamanan gaji lebih besar itu bonus ,motivasi rumah paksa laku jodoh gaji suka hidup sesuai nyaman gaji besar bonus
kr! kalian yg pernah pindah kerja alasan resignnya dl apa? aku br kerja sebulan tp mau pindah krn dpt kerja ditempat yg lbh baik. di tmpt lama gaji jauh dibwh umr jkt ga wfh jg. di tmpt ini gaji pas umr wfh jg. thanks before,tempat tempat gaji jauh jakarta tempat gaji
Pengen pindah kerja dg alasan jarak krn jarak tempat kerja yg skrg mayan jauh pengen pindah deket rumah tapi gaji nya lebih rendah... Dilema.. ,jarak jarak tempat lumayan jauh dekat rumah gaji rendah dilema
NAK TUKAR KERJAYA? PREPARE 6 PERKARA NI. 1- Bersedia untuk dapat gaji yang lebih rendah. 2- Research pasal jawatan tu 3- Set satu matlamat 4- Kembangkan skills 5- Customise resume 6- Sediakan jawapan bila ditanya kenapa nak tukar kerjaya masa dalam interview nanti. ,tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar
Jadi inget pernah resign dgn alasan (salah satunya) gaji kurang sdgkn udah harus kontribusi ke keuangan keluarga. Alasan gue ga diterima. Lalu kata sang direktur Gue ga peduli keluarga lo. Yang gue peduli ya perusahaan gue. LAH YA IYA KALO SAYA PERGI KAN WIN WIN SOLUTION,salah gaji kurang kontribusi uang keluarga sang direktur peduli keluarga peduli pergi
@hrdbacot Gue benci bgt sama bos di kantor yg lama karena menurut gue dia marahnya tuh gamasuk akal dan bikin mental down. Dari pada gue bertahan terus dan toxic yauda gue resign. Dan gue ga menyesal sama sekali malah feel free. Skrg dapet bos baik bgt Alhamdulillah.,benci kantor marah akal mental tahan jahat sesal
@hrdbacot nekad resign tanpa offering di tempat lain karena bos terlalu toxic temen kantor yg makin hari makin ga suportif kerja budak sistem kantor ancur ditambah penghasilan ga seberapa. paling kesel uang keperluan kantor gue yang nombok pas minta reimburse katanya tolong diikhlasin,nekad tempat jahat teman kantor suportif budak sistem kantor hancur hasil kesel uang kantor tolong
@hrdbacot Aku pindah malah turun gaji 50% min alasan pindah lingkugan kerja rekan kerja dan lingkungan tempat kos dulu toxic banget ga ga bikin betah. Sekarang walaupun gaji turun tp lingkungan alhamdulillah enak.,turun gaji rekan tempat jahat betah gaji turun enak
Mau numpang curhat lagi.. Misalnya aku udah keterima kerja di bidang yg baru dengan offering salary yg mirip sama salary yg kudapat sekarang ambil gak? Sekarang di bdg keterima di jkt. Alasan pengen pindah : gabisa naik gaji gak ada jenjang karir pengen pengalaman (cont..),curhat bidang gaji gaji ambil jakarta naik gaji jenjang karir alam
Selain gaji apa alasan lo pengin pindah tempat kerja?,gaji tempat
Sebenernya alasan paling mumpuni buat pindah kerja itu ya : kalau ngga ada kesempatan karier ngga ngerasa bisa berkontribusi ngga bisa berkembang dan ngga punya kesempatan buat networking.,mumpuni karier rasa kontribusi kembang
@hrdbacot Temanku resign sbg manager waktu pandemi u/ mempertahankan karyawan lainnya. Katnya dia pikir dr pada karyawan lain hrus dirumahkan mending dia krn salarynya bs menutup beberp gji kryawan itu dan ngasih kesmptan jg asistenya untuk brkembang krn outo akan mengmbil wilyh kerjanya,teman manager waktu pandemi tahan karyawan karyawan rumah mending tutup gaji asih
